One Battle After Another,"""Best Picture nominee, distributed by Warner Bros., shot in California"""
Hamnet,"""Best Picture nominee, distributed by Focus Features, shot in England"""
Marty Supreme,"""Best Picutre nominee, distributed by A24, shot in New York"""
Sentimental Value,"""Best Picture nominee, distributed by Neon, shot in Norway"""
Train Dreams,"""Best Picture nominee, distributed by Netflix, shot in Washington"""
Timothee Chalamet,"""Youngest person to be nominated for both acting and producing in the same year"""
Emma Stone,"""Only nominated actress to have previously won Best Actress"""
Skarsgard,"""Quite possibly the biggest family in film right now"""
Kpop,"""The only genre found in the title of a nominee this year"""
Alabama,"""The only US state found in the title of a nominee this year"""
Tig Notaro,"""Comedian, nominated as a producer in the Best Documentary Feature Film category"""
Ludwig Goransson,"""This musician, nominated this year for Best Music, is a Tony Award away from an EGOT"""
Sinners,"""Set the record for most Oscar nominations with sixteen nominations"""
Tom Cruise,"""Set to recieve his first Oscar at the Governor's Awards"""
Dolly Parton,"""Winner of this year's Jean Hersholt Humanitarian Award, even though she's not primarily known for films"""
Rose Byrne,"""If I Had Legs I'd Kick You star, along with (Conan)"""
Conan Oâ€™Brien,"""See (Rose)"""
I Lied To You,"""This and ""Golden"" will be the only songs performed during the ceremony"""
Amy Madigan,"""The 40-year span between nominations has this actress tied for the longest gap between nominations for an actress"""
Neil Diamond,"""The subject of the cover band helmed by nominee Kate Hudson and Hugh Jackman in Song Sung Blue"""
Chloe Zhao,"""She is the second woman, and first woman of color, to be nominated for Best Director twice"""
Neon,"""Studio with the most films nominated at the main ceremony"""
Casting,"""The newest category, debuting at this year's Oscars"""
Dolby,"""_____ Theatre, location of this year's ceremony"""
Hulu,"""You can watch the Oscars on ABC and ____"""
Marlon Brando,"""Previously the youngest actor to earn three acting nominations before Chalamet"""
Brazil,"""Wagner Moura is the first actor from _____ to be nominated for Best Actor"""
Costume,"""Ruth E. Carter became the most-nominated Black woman across any category with her nomination for this category"""
Warner Bros,"""Studio with the most nominations at the main ceremony"""